Country,Population,GDP,Coffee Consumption,GDP per Capita
GB,65110276,2629188000000,0.389,40381
TR,79817849,857429000000,0.342,10742
DE,82900000,3466639000000,1.231,41817
FR,66991000,2463222000000,0.694,36769
ES,46423064,1232897000000,0.559,26558
CH,8265000,659850000000,0.971,79837
NL,17003777,771163000000,2.414,45352
PL,38494000,267591000000,1.152,6951
CZ,10535000,205270000000,1.17,19485
BE,11259000,466960000000,0.981,41474
PT,10311000,198931000000,0.154,19293
IT,60963000,1850735000000,0.336,30358